p_code,p_name,start_date,earning,earn_7d,earn_14d,earn_28d,earn_35d,path_1m,path_3m,path_6m,path_1y,start_money
004473,前海开源尊享货币A,2019-01-18,,,,,,0.3348,0.6355,1.2551,3.0922,1000.0
004474,前海开源尊享货币B,2019-01-18,,,,,,0.3567,0.6971,1.3759,3.3195,5000000.0
000982,北信瑞丰现金添利B,2019-01-18,2.9465,4.037,3.3499,3.0461,2.9614,0.2515,0.8151,1.5279,3.5318,5000000.0
000981,北信瑞丰现金添利A,2019-01-18,2.8805,3.785,3.0999,2.797,2.7125,0.2309,0.7544,1.4052,3.2833,100.0
003468,富荣货币B,2019-01-18,2.6965,3.03,2.8111,3.4063,3.3128,0.2822,0.7654,1.5708,3.6758,5000000.0
003467,富荣货币A,2019-01-18,2.6308,2.78,2.5585,3.1547,3.0615,0.2615,0.7041,1.4478,3.4267,100.0
004179,圆信永丰丰润货币B,2019-01-18,2.188,2.692,2.8171,3.3864,3.3077,0.2829,0.7399,1.5438,3.6506,100.0
004331,太平日日鑫货币B,2019-01-18,2.1609,4.753,3.7643,3.4693,3.2479,0.2825,0.7249,1.6212,3.713,5000000.0
004178,圆信永丰丰润货币A,2019-01-18,2.1365,2.533,2.6608,3.2172,3.1332,0.2685,0.6921,1.4379,3.4175,100.0
004330,太平日日鑫货币A,2019-01-18,2.0954,4.502,3.5156,3.2212,3.0004,0.262,0.6652,1.5009,3.4665,100.0
004369,前海开源聚财宝B,2019-01-18,1.7367,3.404,3.4342,3.5619,3.6825,0.322,0.821,1.6847,3.8546,5000000.0
000872,北信瑞丰宜投宝B,2019-01-18,1.7312,3.688,3.3797,3.3786,3.2708,0.2762,0.7485,1.5881,3.6515,5000000.0
004368,前海开源聚财宝A,2019-01-18,1.7116,3.309,3.3419,3.4703,3.5913,0.3144,0.7981,1.6385,3.7615,100.0
000871,北信瑞丰宜投宝A,2019-01-18,1.6654,3.436,3.1298,3.1294,3.0227,0.2557,0.6875,1.4648,3.4015,100.0
005151,红土创新优淳货币B,2019-01-18,1.6167,3.178,4.1757,4.6938,4.4104,0.3855,0.8622,1.7533,4.1054,5000000.0
000902,国开货币B,2019-01-18,1.5908,2.945,2.7827,2.9573,2.8691,0.2489,0.7107,1.5575,3.65,5000000.0
005150,红土创新优淳货币A,2019-01-18,1.5451,2.918,3.9446,4.4541,4.1686,0.3657,0.8018,1.6304,3.8576,100.0
000901,国开货币A,2019-01-18,1.525,2.698,2.5424,2.7168,2.6284,0.2284,0.6498,1.4345,3.4005,100.0
690210,民生加银现金增利货币B,2019-01-18,1.4306,3.184,3.0841,3.5193,3.4106,0.2922,0.7881,1.6992,3.8758,5000000.0
004097,农银汇理日日鑫交易型货币A,2019-01-18,1.3748,3.421,3.489,3.3976,3.3747,0.2855,0.8029,1.7066,3.8769,100.0
690010,民生加银现金增利货币A,2019-01-18,1.365,2.936,2.8364,3.2706,3.162,0.2717,0.727,1.576,3.6266,100.0
004373,金鹰增益货币B,2019-01-18,1.2365,3.505,3.5162,3.5816,3.5254,0.2975,0.8326,1.7152,3.8939,5000000.0
000425,长盛添利宝货币B,2019-01-18,1.224,2.749,2.8787,2.9952,3.0552,0.2487,0.6989,1.4344,3.4388,5000000.0
000381,景顺长城景益货币B,2019-01-18,1.2001,3.263,3.1911,3.1626,3.1429,0.2652,0.7551,1.5915,3.531,5000000.0
004545,永赢天天利货币,2019-01-18,1.1958,3.305,3.5177,4.1849,4.0722,0.3524,0.9185,1.8771,4.1005,100.0
004372,金鹰增益货币A,2019-01-18,1.1853,3.306,3.3197,3.3844,3.3276,0.2813,0.7842,1.6113,3.6911,100.0
000424,长盛添利宝货币A,2019-01-18,1.1584,2.498,2.627,2.7451,2.808,0.2281,0.638,1.3118,3.1909,100.0
000380,景顺长城景益货币A,2019-01-18,1.135,3.017,2.9447,2.9167,2.8974,0.2448,0.6944,1.4693,3.2854,100.0
004904,人保货币B,2019-01-18,1.1309,3.21,3.2239,3.3717,3.2709,0.2786,0.7549,1.5308,3.6635,5000000.0
003267,新华壹诺宝货币B,2019-01-18,1.0751,4.029,3.5411,3.1674,3.096,0.2639,0.7556,1.553,3.6017,5000000.0
004903,人保货币A,2019-01-18,1.0649,2.96,2.9682,3.1204,3.0233,0.2582,0.6941,1.408,3.4148,100.0
000883,中金现金管家B,2019-01-20,1.0537,3.18,3.5249,3.4091,3.3366,0.2896,0.7558,1.5691,3.6654,5000000.0
001401,德邦如意货币,2019-01-18,1.0492,3.368,3.1338,3.1681,3.2974,0.2739,0.8031,1.6896,3.8002,100.0
675062,西部利得天添富货币B,2019-01-18,1.0285,3.286,3.4298,3.6579,3.7165,0.314,0.8469,1.7543,3.9292,5000000.0
000434,新华壹诺宝货币A,2019-01-18,1.008,3.78,3.294,2.9208,2.849,0.2435,0.6947,1.4301,3.3532,100.0
005135,长信长金通货币B,2019-01-18,0.9994,2.77,2.8698,3.0337,3.0352,0.2751,0.7698,1.6964,3.95,150000000.0
710502,富安达现金通货币B,2019-01-18,0.9975,3.211,3.3221,3.4282,3.2582,0.2811,0.7251,1.425,3.3426,5000000.0
003480,财通资管鑫管家货币B,2019-01-18,0.9647,3.251,3.352,3.3728,3.3793,0.2845,0.8547,1.786,3.9535,5000000.0
675061,西部利得天添富货币A,2019-01-18,0.9607,3.04,3.1949,3.4175,3.4739,0.2941,0.7864,1.6313,3.6806,100.0
005134,长信长金通货币A,2019-01-18,0.9605,2.625,2.726,2.9,2.8992,0.2631,0.7339,1.6242,3.804,100.0
002318,鹏华添利交易型货币A,2019-01-18,0.9525,2.535,2.5813,2.9548,2.9244,0.2482,0.685,1.4007,3.3376,100.0
004863,泰康现金管家货币C,2019-01-18,0.9521,2.455,2.7043,3.3078,3.1757,0.2737,0.7717,1.5924,3.7396,10000000.0
004862,泰康现金管家货币B,2019-01-18,0.9521,2.455,2.7046,3.3082,3.1761,0.2738,0.7717,1.5924,3.7396,5000000.0
001931,国寿安保鑫钱包货币,2019-01-18,0.9471,3.224,3.3829,3.394,3.3101,0.2814,0.7858,1.6726,3.7614,100.0
710501,富安达现金通货币A,2019-01-18,0.932,2.963,3.0727,3.1804,3.0107,0.2606,0.664,1.3021,3.0939,100.0
000533,永赢货币,2019-01-18,0.9306,3.253,3.2711,3.9286,3.8102,0.3303,0.8637,1.7867,3.9104,100.0
001909,创金合信货币,2019-01-18,0.9294,3.819,4.5745,3.8323,3.5665,0.3096,0.7903,1.5826,3.695,100.0
004137,博时合惠货币B,2019-01-20,0.9285,3.437,3.4327,3.5372,3.5656,0.2952,0.8716,1.8294,4.146,5000000.0
000882,中金现金管家A,2019-01-20,0.9222,2.937,3.2758,3.1609,3.0883,0.2692,0.6948,1.4461,3.4161,100.0
004973,长城收益宝货币B,2019-01-19,0.9219,3.469,3.6392,3.6385,3.6245,0.3043,0.8931,1.9435,4.3322,100.0
675032,西部利得天添鑫货币B,2019-01-18,0.9179,2.929,3.1709,3.5015,3.4389,0.2912,0.7515,1.5392,3.554,5000000.0
003474,南方天天利货币B,2019-01-19,0.9092,3.398,3.4064,3.437,3.4428,0.2882,0.8543,1.8396,4.1416,100.0
000891,博时现金宝货币B,2019-01-20,0.9087,3.393,3.4374,3.3973,3.4514,0.283,0.8352,1.774,4.0233,100.0
000908,农银红利日结货币B,2019-01-18,0.905,3.209,3.2106,3.2488,3.216,0.2708,0.7851,1.671,3.8153,5000000.0
003479,财通资管鑫管家货币A,2019-01-18,0.8983,3.004,3.1059,3.1255,3.1312,0.2641,0.7936,1.6628,3.7043,100.0
004417,兴全货币B,2019-01-18,0.8967,3.253,3.2844,3.3213,3.333,0.2841,0.8383,1.7856,4.152,5000000.0
000836,国投瑞银钱多宝货币A,2019-01-18,0.8902,3.319,3.4008,3.3096,3.3222,0.2797,0.8194,1.7822,4.0324,100.0
000837,国投瑞银钱多宝货币I,2019-01-18,0.8902,3.319,3.4008,3.3096,3.3222,0.2797,0.8194,1.7822,4.0325,100.0
000648,易方达财富快线货币B,2019-01-18,0.8896,3.303,3.3493,3.3621,3.326,0.28,0.8256,1.7763,4.0236,5000000.0
000569,鹏华增值宝货币,2019-01-18,0.8885,2.931,2.9783,3.0581,3.0333,0.2562,0.7776,1.6861,3.7093,100.0
519998,长信利息收益货币B,2019-01-18,0.8864,2.818,3.1591,3.0013,2.9165,0.2646,0.6997,1.4062,3.3381,5000000.0
003538,招商招利宝货币B,2019-01-19,0.8847,3.32,3.3955,3.7598,3.6837,0.3119,0.8654,1.8396,4.1757,50000.0
004861,泰康现金管家货币A,2019-01-18,0.8834,2.209,2.4583,3.0597,2.9277,0.2533,0.7106,1.4691,3.4913,100.0
005202,兴业稳天盈货币B,2019-01-18,0.8832,3.086,3.1406,3.2038,3.2132,0.2698,0.7806,1.7287,3.9691,3000000.0
001666,鹏华添利宝货币,2019-01-18,0.8831,3.139,3.2756,3.316,3.3163,0.2765,0.8387,1.7936,4.0516,100.0
004718,万家天添宝货币B,2019-01-18,0.882,3.205,3.6533,3.471,3.4502,0.2903,0.8496,1.8119,4.0635,30000000.0
210013,金鹰货币B,2019-01-18,0.8813,3.232,3.3505,3.7656,3.7048,0.3253,0.831,1.7093,3.9129,5000000.0
202308,南方收益宝货币B,2019-01-19,0.8795,3.273,3.2989,3.2411,3.2171,0.2713,0.8461,1.7907,4.0163,100.0
128011,国投瑞银货币B,2019-01-18,0.879,3.222,3.0655,3.1197,3.0401,0.2585,0.7277,1.6208,3.7487,5000000.0
003264,新华活期添利货币B,2019-01-18,0.8748,3.276,3.406,3.382,3.3552,0.281,0.8365,1.8139,4.0729,5000000.0
180009,银华货币B,2019-01-18,0.8719,3.188,3.2063,3.2326,3.205,0.2704,0.7212,1.5002,3.4709,5000000.0
003679,中融现金增利货币C,2019-01-18,0.8709,3.226,3.2085,3.1846,3.1768,0.2667,0.7744,1.6916,3.9276,5000000.0
003481,光大耀钱包货币B,2019-01-18,0.8689,3.173,3.0088,3.3734,3.2951,0.2787,0.7752,1.6413,3.7578,5000000.0
000759,平安财富宝货币,2019-01-19,0.8677,3.369,3.3566,3.194,3.2123,0.2676,0.7931,1.7086,3.8866,100.0
675072,西部利得天添金货币B,2019-01-18,0.867,2.993,3.1256,4.0252,4.0868,0.3376,0.6303,1.3016,3.2496,5000000.0
003792,民生加银现金宝货币C,2019-01-18,0.8669,3.521,3.5359,3.3743,3.3541,0.2811,0.8451,1.7989,4.0129,100.0
000010,易方达天天理财货币B,2019-01-18,0.8657,3.227,3.3188,3.3069,3.2642,0.2754,0.8072,1.7201,3.9016,5000000.0
003871,华泰柏瑞天添宝货币B,2019-01-18,0.8654,3.307,3.471,3.5727,3.5218,0.2972,0.8278,1.7541,4.0285,100.0
005148,新华活期添利货币E,2019-01-18,0.8637,3.235,3.3645,3.3405,3.3135,0.2775,0.8263,1.7934,4.0312,100.0
004167,安信活期宝货币B,2019-01-18,0.8625,3.259,3.3111,3.3102,3.3642,0.2757,0.8488,1.7879,4.0707,5000000.0
519999,长信利息收益货币A,2019-01-18,0.8617,2.725,3.0653,2.915,2.8291,0.257,0.6769,1.3253,3.1326,100.0
519507,万家货币B,2019-01-18,0.8608,2.917,2.9676,3.2923,3.3298,0.2866,0.7825,1.6625,3.6627,5000000.0
001895,泰达宏利活期友货币B,2019-01-18,0.8594,3.157,3.223,3.3554,3.3941,0.2868,0.8314,1.693,3.9518,5000000.0
003253,大成添益交易型货币B,2019-01-18,0.8578,3.185,3.2591,3.3335,3.2587,0.2774,0.7474,1.5217,3.6871,5000000.0
004972,长城收益宝货币A,2019-01-19,0.8562,3.223,3.3912,3.39,3.3758,0.2837,0.832,1.8201,4.0827,100.0
000790,易方达龙宝货币B,2019-01-19,0.8557,3.226,3.2418,3.3732,3.3677,0.2825,0.8272,1.7386,3.9194,5000000.0
000662,银华活钱宝货币F,2019-01-18,0.8544,3.178,3.3125,3.5702,3.5611,0.3013,0.8152,1.7752,4.0239,100.0
000730,博时现金宝货币A,2019-01-20,0.8539,3.186,3.2299,3.1902,3.2444,0.2659,0.7843,1.6711,3.8286,100.0
004217,兴业安润货币B,2019-01-18,0.849,3.108,3.143,3.2167,3.2065,0.269,0.7794,1.6785,3.8965,5000000.0
675031,西部利得天添鑫货币A,2019-01-18,0.8484,2.676,2.9181,3.2495,3.1866,0.2704,0.6899,1.4158,3.3058,100.0
003281,广发活期宝货币B,2019-01-19,0.8482,3.177,3.2725,3.577,3.5705,0.3009,0.8182,1.7043,3.9332,5000000.0
003473,南方天天利货币A,2019-01-19,0.8435,3.15,3.159,3.1887,3.1945,0.2676,0.7933,1.7166,3.8926,100.0
003465,平安金管家货币,2019-01-19,0.8426,3.394,3.5227,3.366,3.3521,0.2814,0.8345,1.7554,3.861,100.0
003022,建信现金添益货币A,2019-01-20,0.8425,3.134,3.2147,3.309,3.3014,0.2777,0.8009,1.6974,3.8912,100.0
001176,山证日日添利货币B,2019-01-18,0.8416,3.176,3.1177,3.23,3.2238,0.2702,0.7868,1.5802,3.5031,5000000.0
003753,工银如意货币B,2019-01-19,0.8405,3.112,3.244,3.3424,3.2729,0.2769,0.8002,1.736,3.9933,10000000.0
000705,易方达天天增利货币B,2019-01-19,0.84,3.205,3.1973,3.0677,3.0486,0.2562,0.7826,1.6889,3.9423,5000000.0
000907,农银红利日结货币A,2019-01-18,0.8391,2.961,2.9628,3.0007,2.9681,0.2503,0.724,1.5477,3.5665,100.0
519517,汇添富货币B,2019-01-18,0.8382,3.092,3.1965,3.3652,3.3549,0.282,0.8064,1.697,3.8603,5000000.0
